Most common words,Absolute frequency,Relative frequency
god,544.0,0.02064986334649256
us,356.0,0.013513513513513514
prayer,303.0,0.011501670209535379
cloth,183.0,0.006946553294867901
father,170.0,0.006453082295778925
8vo,168.0,0.006377163680534467
one,164.0,0.006225326450045551
_,162.0,0.006149407834801093
life,157.0,0.005959611296689949
crown,142.0,0.005390221682356514
pray,133.0,0.005048587913756453
man,132.0,0.005010628606134224
6d,132.0,0.005010628606134224
name,125.0,0.004744913452778621
boards,123.0,0.004668994837534164
net,122.0,0.004631035529911934
say,122.0,0.004631035529911934
men,114.0,0.004327361068934102
new,111.0,0.004213483146067416
may,110.0,0.004175523838445187
shall,110.0,0.004175523838445187
sin,108.0,0.004099605223200729
lord,107.0,0.0040616459155785
kingdom,106.0,0.004023686607956271
world,105.0,0.003985727300334042
day,103.0,0.003909808685089584
gutenberg,97.0,0.0036820528393562103
every,97.0,0.0036820528393562103
jesus,95.0,0.003606134224111752
upon,95.0,0.003606134224111752
come,93.0,0.0035302156088672944
book,93.0,0.0035302156088672944
project,88.0,0.0033404190707561495
christ,87.0,0.0033024597631339204
old,84.0,0.0031885818402672336
thy,80.0,0.0030367446097783178
j,78.0,0.0029608259945338596
c,78.0,0.0029608259945338596
first,76.0,0.002884907379289402
must,74.0,0.0028089887640449437
work,74.0,0.0028089887640449437
love,72.0,0.002733070148800486
author,69.0,0.002619192225933799
let,65.0,0.002467354995444883
done,65.0,0.002467354995444883
1s,65.0,0.002467354995444883
bread,64.0,0.0024293956878226543
need,64.0,0.0024293956878226543
great,63.0,0.0023914363802004252
prayers,61.0,0.002315517764955967
2s,60.0,0.0022775584573337384
petition,59.0,0.0022395991497115094
1,58.0,0.0022016398420892803
3s,58.0,0.0022016398420892803
e,57.0,0.002163680534467051
things,56.0,0.0021257212268448226
make,55.0,0.0020877619192225935
little,53.0,0.0020118433039781353
earth,53.0,0.0020118433039781353
christian,53.0,0.0020118433039781353
give,52.0,0.0019738839963559063
daily,51.0,0.0019359246887336774
heaven,51.0,0.0019359246887336774
full,51.0,0.0019359246887336774
many,50.0,0.0018979653811114485
see,50.0,0.0018979653811114485
temptation,49.0,0.0018600060734892195
words,49.0,0.0018600060734892195
use,48.0,0.0018220467658669906
also,48.0,0.0018220467658669906
said,48.0,0.0018220467658669906
without,48.0,0.0018220467658669906
well,47.0,0.0017840874582447615
cannot,47.0,0.0017840874582447615
bible,47.0,0.0017840874582447615
time,46.0,0.0017461281506225327
even,45.0,0.0017081688430003036
like,45.0,0.0017081688430003036
know,45.0,0.0017081688430003036
king,44.0,0.0016702095353780747
best,44.0,0.0016702095353780747
never,44.0,0.0016702095353780747
_the,44.0,0.0016702095353780747
find,43.0,0.0016322502277558457
heart,43.0,0.0016322502277558457
large,43.0,0.0016322502277558457
gilt,43.0,0.0016322502277558457
spirit,42.0,0.0015942909201336168
b,41.0,0.0015563316125113877
disciples,41.0,0.0015563316125113877
people,41.0,0.0015563316125113877
cross,41.0,0.0015563316125113877
place,39.0,0.0014804129972669298
word,39.0,0.0014804129972669298
could,39.0,0.0014804129972669298
forgive,39.0,0.0014804129972669298
ask,38.0,0.001442453689644701
good,38.0,0.001442453689644701
dr,37.0,0.0014044943820224719
much,37.0,0.0014044943820224719
son,37.0,0.0014044943820224719
works,37.0,0.0014044943820224719
f,37.0,0.0014044943820224719
made,36.0,0.001366535074400243
rev,36.0,0.001366535074400243
grace,35.0,0.001328575766778014
fact,35.0,0.001328575766778014
top,35.0,0.001328575766778014
debt,35.0,0.001328575766778014
think,34.0,0.001290616459155785
times,34.0,0.001290616459155785
ever,34.0,0.001290616459155785
power,34.0,0.001290616459155785
evil,34.0,0.001290616459155785
children,33.0,0.001252657151533556
way,33.0,0.001252657151533556
thought,33.0,0.001252657151533556
says,33.0,0.001252657151533556
faith,33.0,0.001252657151533556
free,33.0,0.001252657151533556
edition,33.0,0.001252657151533556
given,32.0,0.0012146978439113271
nothing,32.0,0.0012146978439113271
nature,32.0,0.0012146978439113271
look,32.0,0.0012146978439113271
true,32.0,0.0012146978439113271
truth,31.0,0.001176738536289098
read,31.0,0.001176738536289098
yet,31.0,0.001176738536289098
want,30.0,0.0011387792286668692
right,30.0,0.0011387792286668692
r,30.0,0.0011387792286668692
forgiveness,29.0,0.0011008199210446401
john,29.0,0.0011008199210446401
long,29.0,0.0011008199210446401
notice,29.0,0.0011008199210446401
always,29.0,0.0011008199210446401
yes,29.0,0.0011008199210446401
tell,29.0,0.0011008199210446401
thee,29.0,0.0011008199210446401
means,29.0,0.0011008199210446401
still,28.0,0.0010628606134224113
go,28.0,0.0010628606134224113
peace,28.0,0.0010628606134224113
art,28.0,0.0010628606134224113
morning,27.0,0.0010249013058001822
character,27.0,0.0010249013058001822
perfect,27.0,0.0010249013058001822
sins,27.0,0.0010249013058001822
electronic,27.0,0.0010249013058001822
away,26.0,0.0009869419981779531
glory,26.0,0.0009869419981779531
light,26.0,0.0009869419981779531
last,26.0,0.0009869419981779531
books,26.0,0.0009869419981779531
story,26.0,0.0009869419981779531
soul,26.0,0.0009869419981779531
remember,26.0,0.0009869419981779531
church,26.0,0.0009869419981779531
foundation,26.0,0.0009869419981779531
help,25.0,0.0009489826905557243
teach,25.0,0.0009489826905557243
often,25.0,0.0009489826905557243
simply,25.0,0.0009489826905557243
obey,25.0,0.0009489826905557243
home,25.0,0.0009489826905557243
terms,24.0,0.0009110233829334953
believe,24.0,0.0009110233829334953
poor,24.0,0.0009110233829334953
3,24.0,0.0009110233829334953
illustrations,24.0,0.0009110233829334953
6s,24.0,0.0009110233829334953
request,23.0,0.0008730640753112663
years,23.0,0.0008730640753112663
take,23.0,0.0008730640753112663
child,23.0,0.0008730640753112663
hearts,23.0,0.0008730640753112663
ye,23.0,0.0008730640753112663
order,23.0,0.0008730640753112663
hard,23.0,0.0008730640753112663
simple,23.0,0.0008730640753112663
h,23.0,0.0008730640753112663
mr,22.0,0.0008351047676890374
praying,22.0,0.0008351047676890374
unto,22.0,0.0008351047676890374
bring,22.0,0.0008351047676890374
answer,22.0,0.0008351047676890374
paper,22.0,0.0008351047676890374
ought,22.0,0.0008351047676890374
courage,22.0,0.0008351047676890374
copyright,22.0,0.0008351047676890374
pass,21.0,0.0007971454600668084
taught,21.0,0.0007971454600668084
gave,21.0,0.0007971454600668084
cry,21.0,0.0007971454600668084
oh,21.0,0.0007971454600668084
school,21.0,0.0007971454600668084
whose,21.0,0.0007971454600668084
human,21.0,0.0007971454600668084
model,20.0,0.0007591861524445794
states,20.0,0.0007591861524445794
gospel,20.0,0.0007591861524445794
something,20.0,0.0007591861524445794
petitions,20.0,0.0007591861524445794
religion,20.0,0.0007591861524445794
2,20.0,0.0007591861524445794
testament,20.0,0.0007591861524445794
obedience,20.0,0.0007591861524445794
days,20.0,0.0007591861524445794
pardon,20.0,0.0007591861524445794
form,19.0,0.0007212268448223505
second,19.0,0.0007212268448223505
