Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
god,0.02064986334649256,0.0006198294836440914,0.02003003386284847
us,0.013513513513513514,0.0012270093859893237,0.012286504127524191
prayer,0.011501670209535379,0.0003288891137703342,0.011172781095765045
cloth,0.006946553294867901,0.0001897437194828851,0.0067568095753850164
father,0.006453082295778925,0.0001897437194828851,0.006263338576296041
life,0.005959611296689949,0.0012270093859893237,0.0047326019107006255
_,0.006149407834801093,0.0021883775647026085,0.003961030270098484
say,0.004631035529911934,0.0008222227844258355,0.0038088127454860986
shall,0.004175523838445187,0.00044273534546006527,0.003732788492985122
constantinople,0.0,0.003706327320565689,0.003706327320565689
man,0.005010628606134224,0.001695043894047107,0.003315584712087117
turkish,0.0,0.003276241556404483,0.003276241556404483
one,0.006225326450045551,0.009499835555443115,0.003274509105397564
two,0.0007212268448223505,0.003959318946542869,0.003238092101720519
book,0.0035302156088672944,0.0003415386950691932,0.003188676913798101
name,0.004744913452778621,0.0017456422192425431,0.002999271233536078
mosque,0.0,0.002896754117438713,0.002896754117438713
upon,0.003606134224111752,0.0007589748779315404,0.002847159346180212
sultan,0.0,0.0028461557922432766,0.0028461557922432766
world,0.003985727300334042,0.0012143598046904648,0.0027713674956435772
j,0.0029608259945338596,0.00020239330078174411,0.0027584326937521155
pasha,0.0,0.0027323095605535455,0.0027323095605535455
however,0.0001518372304889159,0.002782907885748982,0.002631070655260066
new,0.004213483146067416,0.0017456422192425431,0.0024678409268248727
gutenberg,0.0036820528393562103,0.0012270093859893237,0.0024550434533668866
men,0.004327361068934102,0.0019606851013231463,0.002366675967610956
come,0.0035302156088672944,0.0012017102233916057,0.0023285053854756885
stamboul,0.0,0.0022389758898980444,0.0022389758898980444
project,0.0033404190707561495,0.0011384623168973107,0.0022019567538588388
water,3.795930762222897e-05,0.0022010271460014674,0.0021630678383792383
need,0.0024293956878226543,0.0002782907885748982,0.002151104899247756
let,0.002467354995444883,0.0003288891137703342,0.002138465881674549
every,0.0036820528393562103,0.0015811976623573759,0.0021008551769988344
palace,0.0,0.001935385938725428,0.001935385938725428
done,0.002467354995444883,0.0005439319958509373,0.0019234229995939455
illustration,0.00022775584573337383,0.0021251296582083133,0.0018973738124749395
_et,0.0,0.001796240544437979,0.001796240544437979
seq,0.0,0.0017835909631391202,0.0017835909631391202
city,0.0001518372304889159,0.0018974371948288513,0.0017455999643399354
turks,0.0,0.001695043894047107,0.001695043894047107
e,0.002163680534467051,0.0004933336706555013,0.00167034686381155
words,0.0018600060734892195,0.00022769246337946215,0.0016323136101097572
less,0.0001518372304889159,0.0017835909631391202,0.0016317537326502043
house,0.0004175523838445187,0.002023933007817441,0.0016063806239729223
fountain,7.591861524445795e-05,0.001631795987552812,0.001555877372308354
1,0.0022016398420892803,0.0006577782275406684,0.0015438616145486118
christian,0.0020118433039781353,0.0005059832519543603,0.001505860052023775
work,0.0028089887640449437,0.0013408556176790548,0.001468133146365889
heart,0.0016322502277558457,0.00020239330078174411,0.0014298569269741016
bosphorus,0.0,0.0014167531054722089,0.0014167531054722089
another,0.0006453082295778925,0.0020365825891163003,0.0013912743595384078
built,3.795930762222897e-05,0.0014041035241733498,0.0013661442165511207
things,0.0021257212268448226,0.0007969236218281175,0.0013287976050167052
greek,0.00034163376860006075,0.001669744731449389,0.0013281109628493282
like,0.0017081688430003036,0.0030358995117261618,0.0013277306687258582
among,0.0003036744609778318,0.001619146406253953,0.0013154719452761212
full,0.0019359246887336774,0.0006324790649429504,0.001303445623790727
cannot,0.0017840874582447615,0.0004806840893566423,0.0013034033688881191
ii,0.0001518372304889159,0.001454701849368786,0.00130286461887987
best,0.0016702095353780747,0.00039213702026462925,0.0012780725151134455
white,0.00022775584573337383,0.001505300174564222,0.0012775443288308482
little,0.0020118433039781353,0.003288891137703342,0.0012770478337252068
may,0.004175523838445187,0.0029220532800364307,0.0012534705584087563
mehmed,0.0,0.0012523085485870418,0.0012523085485870418
wall,0.0,0.0012396589672881827,0.0012396589672881827
byzantine,0.0,0.0012396589672881827,0.0012396589672881827
give,0.0019738839963559063,0.0007589748779315404,0.001214909118424366
st,0.0004934709990889766,0.001695043894047107,0.0012015728949581303
f,0.0014044943820224719,0.00021504288208060315,0.0011894514999418687
houses,0.0,0.0011764110607938878,0.0011764110607938878
must,0.0028089887640449437,0.00165709515015053,0.0011518936138944138
large,0.0016322502277558457,0.0004933336706555013,0.0011389165571003444
iii,0.0001518372304889159,0.0012902572924836189,0.001138420061994703
three,0.00022775584573337383,0.0013661547802767727,0.001138398934543399
part,0.0006073489219556636,0.001732992637943684,0.0011256437159880206
street,0.0001518372304889159,0.0012523085485870418,0.001100471318098126
many,0.0018979653811114485,0.0029979507678295847,0.0010999853867181362
use,0.0018220467658669906,0.0007336757153338225,0.0010883710505331682
coffee,0.0,0.0010752144104030157,0.0010752144104030157
walls,0.0,0.0010752144104030157,0.0010752144104030157
time,0.0017461281506225327,0.002820856629645559,0.0010747284790230262
marble,0.0,0.0010625648291041566,0.0010625648291041566
long,0.0011008199210446401,0.0021630784021048903,0.0010622584810602502
much,0.0014044943820224719,0.0024540187719786473,0.0010495243899561755
find,0.0016322502277558457,0.0005945303210463733,0.0010377199067094724
cross,0.0015563316125113877,0.0005186328332532193,0.0010376987792581685
free,0.001252657151533556,0.00022769246337946215,0.0010249646881540938
imperial,3.795930762222897e-05,0.0010625648291041566,0.0010246055214819276
made,0.001366535074400243,0.0023907708654843525,0.0010242357910841095
black,0.0004175523838445187,0.001429402686771068,0.0010118503029265492
also,0.0018220467658669906,0.0028335062109444177,0.001011459445077427
said,0.0018220467658669906,0.0008348723657246945,0.000987174400142296
ahmed,0.0,0.0009866673413110026,0.0009866673413110026
power,0.001290616459155785,0.0003162395324714752,0.0009743769266843099
pera,0.0,0.0009740177600121436,0.0009740177600121436
jami,0.0,0.0009740177600121436,0.0009740177600121436
galata,0.0,0.0009740177600121436,0.0009740177600121436
ül,0.0,0.0009740177600121436,0.0009740177600121436
thought,0.001252657151533556,0.00029094036987375717,0.0009617167816597988
tiles,0.0,0.0009613681787132846,0.0009613681787132846
day,0.003909808685089584,0.0029600020239330077,0.0009498066611565762
church,0.0009869419981779531,0.001935385938725428,0.000948443940547475
called,0.0004175523838445187,0.0013535051989779139,0.0009359528151333951
last,0.0009869419981779531,0.0019100867761277101,0.000923144777949757
fountains,0.0,0.0009107698535178486,0.0009107698535178486
soldiers,7.591861524445795e-05,0.0009866673413110026,0.0009107487260665446
war,0.0001518372304889159,0.0010625648291041566,0.0009107275986152408
word,0.0014804129972669298,0.0005818807397475143,0.0008985322575194155
came,0.0006453082295778925,0.001543248918460799,0.0008979406888829065
