Month,sushi ,avocado,pizza,donner,wurst
1/1/2004,6,1,21,1,3
2/1/2004,8,<1,21,1,4
3/1/2004,7,1,17,1,4
4/1/2004,6,1,19,1,4
5/1/2004,6,1,21,1,3
6/1/2004,5,1,19,1,3
7/1/2004,6,1,20,2,3
8/1/2004,6,1,20,2,4
9/1/2004,7,1,20,2,3
10/1/2004,7,1,21,1,3
11/1/2004,6,1,20,1,3
12/1/2004,8,1,22,1,3
1/1/2005,7,1,22,1,3
2/1/2005,8,1,22,1,3
3/1/2005,7,1,21,1,3
4/1/2005,7,1,21,1,3
5/1/2005,6,1,23,1,3
6/1/2005,5,1,20,1,3
7/1/2005,6,1,23,2,3
8/1/2005,8,1,25,1,3
9/1/2005,6,<1,22,1,3
10/1/2005,8,1,27,1,3
11/1/2005,6,1,24,1,3
12/1/2005,7,1,26,1,3
1/1/2006,8,1,26,1,4
2/1/2006,8,1,27,1,4
3/1/2006,7,1,26,1,4
4/1/2006,7,1,27,1,4
5/1/2006,6,1,26,1,3
6/1/2006,6,1,26,2,3
7/1/2006,6,1,28,1,3
8/1/2006,7,1,29,1,3
9/1/2006,6,1,27,2,4
10/1/2006,7,1,30,1,4
11/1/2006,7,1,29,1,4
12/1/2006,7,1,32,1,4
1/1/2007,7,2,29,1,3
2/1/2007,7,1,30,1,3
3/1/2007,7,1,28,1,4
4/1/2007,6,1,31,1,3
5/1/2007,6,1,29,2,3
6/1/2007,7,1,30,2,4
7/1/2007,7,1,34,2,3
8/1/2007,7,1,32,1,3
9/1/2007,7,1,35,1,3
10/1/2007,7,1,32,1,3
11/1/2007,7,1,33,1,3
12/1/2007,8,1,35,1,3
1/1/2008,7,1,33,1,4
2/1/2008,8,1,33,1,3
3/1/2008,8,1,36,1,3
4/1/2008,7,1,32,1,3
5/1/2008,6,1,33,1,3
6/1/2008,6,1,33,1,3
7/1/2008,7,1,31,2,3
8/1/2008,7,1,39,1,3
9/1/2008,7,1,33,1,3
10/1/2008,8,1,36,1,3
11/1/2008,8,1,38,1,3
12/1/2008,8,1,42,1,3
1/1/2009,8,1,41,1,3
2/1/2009,9,1,40,1,3
3/1/2009,8,1,37,1,3
4/1/2009,7,1,35,1,3
5/1/2009,8,1,40,2,4
6/1/2009,7,1,38,1,3
7/1/2009,8,1,41,2,3
8/1/2009,8,1,41,1,3
9/1/2009,9,1,39,1,3
10/1/2009,9,1,43,1,3
11/1/2009,8,1,41,1,3
12/1/2009,9,1,48,1,3
1/1/2010,10,1,47,1,3
2/1/2010,10,1,44,1,3
3/1/2010,10,2,46,2,3
4/1/2010,9,1,41,1,3
5/1/2010,9,2,45,2,3
6/1/2010,7,1,41,1,3
7/1/2010,9,1,46,1,2
8/1/2010,11,1,49,1,3
9/1/2010,10,1,47,1,3
10/1/2010,12,2,49,1,3
11/1/2010,11,1,47,1,3
12/1/2010,11,1,54,1,3
1/1/2011,11,2,60,2,3
2/1/2011,12,2,53,1,3
3/1/2011,11,2,55,1,3
4/1/2011,10,2,57,2,3
5/1/2011,9,2,57,2,3
6/1/2011,10,2,65,2,3
7/1/2011,12,2,64,2,4
8/1/2011,11,2,60,2,4
9/1/2011,12,2,58,2,3
10/1/2011,12,1,68,1,3
11/1/2011,12,2,59,2,4
12/1/2011,11,2,68,2,4
1/1/2012,13,2,65,2,4
2/1/2012,12,3,63,2,4
3/1/2012,13,3,59,2,4
